Aspect Ratio:,Box Office (Gross USA):,Director:,Genre:,Original Language:,Producer:,Production Co:,Rating:,Release Date (Streaming):,Release Date (Theaters):,Runtime:,Sound Mix:,Title:,View the collection:,Writer:,url
,$7.0M,Charles Herman-Wurmfeld,romance,English,"Eden Wurmfeld,    Brad Zions","Michael Alden Productions,Cineric",R (Sexual Content|Language),"Nov 25, 2015","Mar 13, 2002
 wide",1h 34m,"Surround, Dolby Stereo, DTS",Kissing Jessica Stein,,,https://www.rottentomatoes.com/m/kissing_jessica_stein
Scope (2.35:1),$52.4M,Wes Anderson,"drama,comedy",English,"Barry Mendel,    Wes Anderson,    Scott Rudin","Touchstone Pictures,Mordecai Films,American Empirical Pictures",R (Nudity|Drug Content|Sexuality|Some Language),"Nov 23, 2015","Dec 14, 2001
 wide",1h 48m,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",The Royal Tenenbaums,,,https://www.rottentomatoes.com/m/the_royal_tenenbaums
,$313.4K,Petter Naess,"drama,comedy",Norwegian,Dag Alveberg,,R (Language|Some Sexual Content),"Feb 7, 2017",,1h 24m,Surround,Elling,,,https://www.rottentomatoes.com/m/elling
,$5.8M,Patricia Cardoso,"drama,comedy",English,"George LaVoo,    Effie Brown",HBO Films,PG-13 (Some Language|Sexual Content),"Aug 10, 2016",,1h 33m,"Surround, Dolby SR, Dolby Digital, Dolby A, Dolby Stereo",Real Women Have Curves,,,https://www.rottentomatoes.com/m/real_women_have_curves
Flat (1.85:1),$267.2K,Lynne Ramsay,drama,English,George Faber,"BBC Films,Film Council",R,"Aug 22, 2017","Dec 20, 2002
 wide",1h 37m,"Surround, Dolby SR, Dolby Digital, Dolby A, Dolby Stereo",Morvern Callar,,,https://www.rottentomatoes.com/m/morvern_callar
,$41.6M,Stephen Daldry,drama,English,Scott Rudin,"Miramax Films,Paramount Pictures",PG-13 (Mature Thematic Elements|Brief Language|Some Disturbing Images),"Aug 1, 2013","Dec 27, 2002
 wide",1h 54m,"Surround, Dolby SR, Dolby Digital, Dolby A, Dolby Stereo",The Hours,,,https://www.rottentomatoes.com/m/hours
,,Lorene Machado,,,,,,,,,,Margaret Cho - Notorious C.H.O.,,,https://www.rottentomatoes.com/m/margaret-cho-notorious-cho
Flat (1.85:1),$406.0K,Henry Bean,drama,English,"Christopher Roberts,    Susan Hoffman",Fireworks Pictures,R (Some Sexual Content|Language|Strong Violence),"Mar 17, 2017",,1h 38m,"Surround, Dolby SR, Dolby Digital, Dolby A, Dolby Stereo",The Believer,,,https://www.rottentomatoes.com/m/the_believer
Scope (2.35:1),$17.8M,Paul Thomas Anderson,romance,English,"Paul Thomas Anderson,    Daniel Lupi,    JoAnne Sellar","Ghoulardi Film Company,Revolution Films",R (Strong Language|Scene of Sexual Dialogue),"Mar 22, 2016","Oct 11, 2002
 wide",1h 35m,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby EX, Dolby Digital",Punch-Drunk Love,,,https://www.rottentomatoes.com/m/punchdrunk_love
Flat (1.85:1),$64.7M,Rob Minkoff,"fantasy,comedy,kids and family",English,"Lucy Fisher,    Douglas Wick","Colgems Productions Limited,Columbia Pictures,Franklin/Waterman Prod.,Red Wagon Productions",PG (Brief Mild Language),"Apr 24, 2013","Jul 19, 2002
 wide",1h 18m,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",Stuart Little 2,,Bruce Joel Rubin,https://www.rottentomatoes.com/m/stuart_little_2
,$112.9K,Mike Leigh,drama,English,"Simon Channing Williams,    Alain Sarde",Les Films Alain Sarde,R (Some Sexuality|Pervasive Language),"Jan 19, 2017",,2h 8m,Surround,All or Nothing,,,https://www.rottentomatoes.com/m/1117377-all_or_nothing
Flat (1.85:1),$139.5K,Lieven Debrauwer,"drama,comedy",Dutch,Dominique Janne,Buena Vista (Walt Disney),PG (Brief Language),,"Mar 15, 2002
 wide",1h 18m,"Dolby SR, DTS, Dolby Stereo, Surround, Dolby A, Dolby Digital",Pauline and Paulette,,,https://www.rottentomatoes.com/m/pauline_and_paulette
Scope (2.35:1),$56.4M,Charles Stone,"drama,music,comedy",English,"Wendy Finerman,    Timothy M. Bourne,    Jody Gerson","Fox 2000 Pictures,Wendy Finerman Productions",PG-13 (Language|Innuendo),"Nov 25, 2015","Dec 13, 2002
 wide",1h 58m,"Dolby Stereo, Dolby Digital, Dolby A, Surround, DTS, Dolby SR",Drumline,,,https://www.rottentomatoes.com/m/drumline
Flat (1.85:1),$230.7K,Raja Amari,drama,Arabic,"Alain Rozanès,    Pascal Verroust,    Dora Bouchoucha",,,"Jun 17, 2003",,1h 29m,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",Red Satin,,,https://www.rottentomatoes.com/m/satin_rouge
Flat (1.85:1),$3.8M,Justin Lin,"drama,crime",English,"Julie Asato,    Ernesto Foronda,    Justin Lin",MTV Films,R (Violence|Drug Use|Sexuality|Language),"Jun 6, 2014","Apr 11, 2003
 wide",1h 41m,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",Better Luck Tomorrow,,,https://www.rottentomatoes.com/m/better_luck_tomorrow
,$21.1M,Denzel Washington,drama,English,"Todd Black,    Randa Haines,    Denzel Washington","Mundy Lane Entertainment,MDP Worldwide,Antwone Fisher Productions [us],Hofflund/Polone",PG-13 (Language|Child Abuse|Mature Thematic Material|Violence),"Nov 25, 2015","Jan 1, 2003
 wide",2h,"Surround, Dolby Digital",Antwone Fisher,,,https://www.rottentomatoes.com/m/antwone_fisher
Flat (1.85:1),$114.2K,Babak Payami,comedy,Persian,"Marco Muller,    Babak Payami",,G,"Mar 8, 2017","Aug 9, 2002
 wide",1h 45m,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",Secret Ballot,,,https://www.rottentomatoes.com/m/secret_ballot
,$3.1M,John Sayles,drama,English,Maggie Renzi,Anarchists' Convention,PG-13 (Thematic Elements|Sexual References|Brief Strong Language),"Apr 16, 2012","Jun 21, 2002
 wide",2h 21m,"Surround, Dolby Stereo, Dolby Digital, Dolby A, SDDS",Sunshine State,,,https://www.rottentomatoes.com/m/sunshine_state
,$160.6K,AJ Schnack,documentary,English,Shirley Moyers,,,,"Jun 20, 2004
 wide",1h 42m,,Gigantic: A Tale of Two Johns,,,https://www.rottentomatoes.com/m/gigantic
Flat (1.85:1),$3.1M,François Ozon,"comedy,crime,musical,drama",French (Canada),"Olivier Delbosc,    Marc Missonnier","Fidélité Productions,B.I.M.,Le Studio Canal +,France 2 Cinema,Centre National de la Cinematographie",R (Some Sexual Content),"Feb 11, 2003",,1h 48m,"Dolby SR, DTS, Dolby Stereo, Surround, Dolby A, Dolby Digital",8 Women,,,https://www.rottentomatoes.com/m/8_women
,$39.9M,"Cathy Malkasian,    Jeff McGrath","animation,comedy,kids and family,adventure",English,"Gabor Csupo,    Arlene Klasky",Nickelodeon Movies,PG (Some Adventure Peril),"Aug 1, 2013","Dec 20, 2002
 wide",1h 25m,Surround,The Wild Thornberrys Movie,,,https://www.rottentomatoes.com/m/wild_thornberrys_movie
,$433.3K,Hilary Birmingham,drama,English,"Hilary Birmingham,    Anne Sundberg",,R,"May 22, 2017",,1h 42m,"Dolby Stereo, Surround",The Truth About Tully,,,https://www.rottentomatoes.com/m/tully
Scope (2.35:1),$176.4M,Chris Wedge,"animation,comedy,kids and family,adventure",English,Lori Forte,"Blue Sky Studios,Fox Animation Studios",PG (Mild Peril),"Dec 15, 2015","Mar 15, 2002
 wide",1h 21m,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",Ice Age,Ice Age,,https://www.rottentomatoes.com/m/ice_age
,,Unknown Director,,,,,,,,,,Ghetto,,,https://www.rottentomatoes.com/m/shanghai_ghetto
,$1.3M,Douglas McGrath,drama,English,"Simon Channing Williams,    John Hart,    Jeff Sharp","Metro-Goldwyn-Mayer,United Artists",PG (Thematic Material|Some Violent Action|Childbirth Scene),"Sep 3, 2016",,2h 18m,,Nicholas Nickleby,,Douglas McGrath,https://www.rottentomatoes.com/m/nicholas_nickleby_2002
Scope (2.35:1),$116.7M,Curtis Hanson,"drama,music",English,"Brian Grazer,    Curtis Hanson,    Jimmy Iovine",Imagine Entertainment,R (Sexuality|Drug Use|Some Violence|Strong Language),"Jun 15, 2012","Nov 8, 2002
 wide",1h 50m,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",8 Mile,,,https://www.rottentomatoes.com/m/8_mile
Scope (2.35:1),$66.8M,Roger Michell,"drama,mystery and thriller",English,Scott Rudin,Paramount Pictures,R (Language),"Aug 1, 2013","Apr 12, 2002
 wide",1h 38m,"Dolby SR, DTS, Dolby Stereo, Surround, Dolby A, Dolby Digital",Changing Lanes,,,https://www.rottentomatoes.com/m/changing_lanes
Flat (1.85:1),$2.3M,Fred Schepisi,drama,English,"Fred Schepisi,    Elisabeth Robinson",Winchester Films,R (Some Language|Sexuality),"Nov 30, 2016","Feb 15, 2002
 wide",1h 49m,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",Last Orders,,,https://www.rottentomatoes.com/m/last_orders
Flat (1.85:1),$228.0M,M. Night Shyamalan,"sci fi,mystery and thriller",English,"M. Night Shyamalan,    Frank Marshall,    Sam Mercer","Touchstone Pictures,Blinding Edge Pictures",PG-13 (Some Frightening Moments),"Aug 11, 2016","Aug 2, 2002
 wide",1h 46m,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",Signs,,,https://www.rottentomatoes.com/m/signs
Flat (1.85:1),$2.9M,Gary Winick,comedy,English,"Dolly Hall,    Alexis Alexanian,    Gary Winick","IFC Productions,InDiGent Entertainment",PG-13 (Sexual Content|Mature Thematic Elements|Language),"Oct 27, 2018",,1h 18m,"Surround, Dolby SR, Dolby A, Dolby Stereo",Tadpole,,,https://www.rottentomatoes.com/m/tadpole
Flat (1.85:1),$62.0K,Shôhei Imamura,"fantasy,drama,romance",Japanese,,Miramax,,"Apr 8, 2016",,1h 59m,"Stereo, Dolby SR, Dolby Digital, Dolby A, Dolby Stereo",Warm Water Under a Red Bridge,,,https://www.rottentomatoes.com/m/warm_water_under_a_red_bridge
Flat (1.85:1),$38.2M,Malcolm D. Lee,comedy,English,"Brian Grazer,    Michael Jenkinson,    Damon Lee","Imagine Entertainment,Urban Media,Universal Pictures",PG-13 (Drug Content|Campy Violence|Language|Sexual Humor),"May 8, 2015","May 31, 2002
 wide",1h 25m,"Dolby SR, DTS, Dolby Stereo, Surround, Dolby A, Dolby Digital",Undercover Brother,,"John Ridley,    Michael McCullers",https://www.rottentomatoes.com/m/undercover_brother
Flat (1.85:1),$4.0M,Steven Shainberg,drama,English,"Andrew Fierberg,    Amy Hobby,    Michael Roban","Double A Films,TwoPoundBag Productions,Slough Pond",R (Language|Behavioral Disorders|Some Nudity|Strong Sexuality),"Dec 20, 2015",,1h 52m,"Surround, Dolby Stereo",Secretary,,,https://www.rottentomatoes.com/m/secretary
Scope (2.35:1),$95.3M,David Fincher,mystery and thriller,English,"Ceán Chaffin,    Judy Hofflund,    David Koepp,    Gavin Polone","Columbia Pictures,Hofflund/Polone",R (Violence|Language),"Apr 16, 2012","Mar 29, 2002
 wide",1h 52m,"Surround, Dolby SR, Dolby Digital, Dolby Stereo",Panic Room,,,https://www.rottentomatoes.com/m/panic_room
Flat (1.85:1),$1.8M,Peter Care,drama,English,"Jodie Foster,    Meg LeFauve,    Jay Shapiro","Egg Pictures,Trilogy Entertainment Group,Initial Entertainment Group",R (Sexual Content|Language|Youth Substance Use),"Jul 10, 2018","Jun 14, 2002
 wide",1h 45m,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",The Dangerous Lives of Altar Boys,,,https://www.rottentomatoes.com/m/dangerous_lives_of_altar_boys
,$94.9K,Nick Broomfield,documentary,English,"Nick Broomfield,    Michele d'Acosta",FilmFour,R (Language),"Apr 4, 2017",,1h 47m,,Biggie and Tupac,,,https://www.rottentomatoes.com/m/biggie_and_tupac
Scope (2.35:1),$4.7M,Burr Steers,comedy,English,"Marco Weber,    Lisa Tornell","Metro-Goldwyn-Mayer,United Artists",R (Language|Drug Content|Sexuality),"Nov 30, 2016","Sep 13, 2002
 wide",1h 44m,Surround,Igby Goes Down,,,https://www.rottentomatoes.com/m/igby_goes_down
Flat (1.85:1),$241.4M,Joel Zwick,romance,English,"Gary Goetzman,    Tom Hanks,    Rita Wilson","Playtone Productions,Gold Circle Films,MPH,Home Box Office (HBO)",PG (Sensuality|Language),"Aug 10, 2016",,1h 35m,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",My Big Fat Greek Wedding,,,https://www.rottentomatoes.com/m/my_big_fat_greek_wedding
Flat (1.85:1),$25.8M,Julie Taymor,"drama,biography",English,"Sarah Green,    Salma Hayek,    Jay Polstein,    Lizz Speed","Ventanarosa Productions,Miramax Films,Handprint Entertainment,Trimark Pictures",R (Nudity|Language|Sexuality),"Oct 11, 2016",,2h 3m,"Dolby SR, DTS, Dolby Stereo, Surround, Dolby A, Dolby Digital",Frida,,,https://www.rottentomatoes.com/m/frida
Scope (2.35:1),,Martin Scorsese,"drama,history",English,"Alberto Grimaldi,    Harvey Weinstein",Miramax,R (Language|Intense Strong Violence|Nudity|Sexuality),"Mar 2, 2017","Dec 20, 2002
 wide",2h 48m,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",Gangs of New York,,"Jay Cocks,    Kenneth Lonergan,    Steven Zaillian",https://www.rottentomatoes.com/m/gangs_of_new_york
Flat (1.85:1),,Andrew Stanton,"animation,comedy,kids and family,adventure",English,Graham Walters,Pixar Animation Studios,G,"Nov 22, 2015","May 30, 2003
 wide",1h 40m,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",Finding Nemo,Pixar,"Andrew Stanton,    Bob Peterson,    David Reynolds",https://www.rottentomatoes.com/m/finding_nemo
,$44.6M,Sofia Coppola,"drama,comedy",English,"Sofia Coppola,    Ross Katz","American Zoetrope,Elemental Films",R (Some Sexual Content),"Jun 15, 2012","Sep 19, 2003
 wide",1h 42m,Surround,Lost in Translation,,,https://www.rottentomatoes.com/m/lost_in_translation
Scope (2.35:1),$377.8M,Peter Jackson,"fantasy,adventure",English,Barrie M. Osborne,"New Line Cinema,Saul Zaentz Company",PG-13,"Apr 6, 2010","Dec 17, 2003
 wide",3h 20m,"Dolby Stereo, Dolby A, Surround, Dolby Digital, Dolby SR",The Lord of the Rings: The Return of the King,Lord of the Rings,,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_return_of_the_king
,$3.1M,Andrew Jarecki,documentary,English,"Andrew Jarecki,    Marc Smerling","HBO Theatrical Documentary,Magnolia Pictures",,"Jun 1, 2018",,1h 47m,,Capturing the Friedmans,,,https://www.rottentomatoes.com/m/capturing_the_friedmans
,$4.2M,Errol Morris,documentary,English,"Errol Morris,    Michael Williams,    Julie Ahlberg","SenArt Films,Globe Department Store,@radical media Inc.",PG-13 (Thematic Issues),"Apr 16, 2012","Dec 26, 2003
 wide",1h 45m,,The Fog of War,,,https://www.rottentomatoes.com/m/the_fog_of_war_eleven_lessons_from_the_life_of_robert_s_mcnamara
,$6.0M,"Shari Springer Berman,    Robert Pulcini","drama,comedy,biography",English,Ted Hope,"Good Machine,HBO Films",R (Language),"Aug 10, 2016","Aug 15, 2003
 wide",1h 40m,Surround,American Splendor,,,https://www.rottentomatoes.com/m/american_splendor
,$304.7K,Ken Loach,drama,English,Rebecca O'Brien,"Road Movies Filmproduktion [de],Tornasol Films S.A.,British Broadcasting Corporation (BBC),Alta Films Productions",R,"Sep 2, 2014","May 16, 2003
 wide",1h 46m,"Surround, Dolby SR, Dolby Digital, Dolby A, Dolby Stereo",Sweet Sixteen,,,https://www.rottentomatoes.com/m/sweet_sixteen
Flat (1.85:1),$2.1M,Peter Sollett,"drama,comedy",English,"Scott Macaulay,    Robin O'Hara,    Peter Sollett,    Alain de la Mata","Canal+,StudioCanal,Forensic Films",R (Strong Language),"Mar 28, 2017","Mar 28, 2003
 wide",1h 28m,"Surround, Dolby Stereo",Raising Victor Vargas,,,https://www.rottentomatoes.com/m/raising_victor_vargas
,$216.2K,"José Padilha,    Felipe Lacerda",documentary,Portuguese (Brazil),José Padilha,Zazen Producoes,R (Language|Violent Images|Some Drug Material),"Jul 20, 2004",,2h 13m,Surround,Bus 174,,,https://www.rottentomatoes.com/m/bus_174
,$85.7K,"Kim Bartley,    Donnacha O'Briain",documentary,English,David Power,BBC,,,,1h 14m,,The Revolution Will Not Be Televised,,,https://www.rottentomatoes.com/m/chavez_inside_the_coup
Flat (1.85:1),$10.8M,Jacques Perrin,documentary,French (France),"Christophe Barratier,    Jacques Perrin",Bac Films,G,"May 1, 2012",,1h 31m,"Dolby Stereo, Dolby Digital, Dolby A, Dolby SR",Winged Migration,,,https://www.rottentomatoes.com/m/winged_migration
,$5.7M,Tom McCarthy,drama,English,"Mary Jane Skalski,    Robert May,    Kathryn Tucker","SenArt Films,Next Wednesday Productions",R (Some Drug Content|Language),"Oct 8, 2016","Oct 10, 2003
 wide",1h 28m,"SDDS, Dolby Digital, DTS, Surround",The Station Agent,,,https://www.rottentomatoes.com/m/station_agent
,$7.0M,Sylvain Chomet,"animation,comedy",French (Canada),Didier Brunner,BBC,PG-13 (Violence|Sensuality|Crude Humor),"Apr 16, 2012",,1h 22m,,The Triplets of Belleville,,,https://www.rottentomatoes.com/m/the_triplets_of_belleville
,$775.6K,Nicolas Philibert,documentary,French (Canada),Gilles Sandoz,Canal Plus Image International,,"May 1, 2008","Sep 5, 2003
 wide",1h 45m,"Surround, Dolby A",To Be and to Have,,,https://www.rottentomatoes.com/m/to_be_and_to_have
,$8.1M,Stephen Frears,"drama,mystery and thriller,crime",English,"Tracey Seaward,    Robert Jones",BBC,R (Language|Disturbing Images|Sexual Content),"Oct 8, 2016","Apr 11, 2003
 wide",1h 34m,Surround,Dirty Pretty Things,,,https://www.rottentomatoes.com/m/dirty_pretty_things
Flat (1.85:1),$1.2M,Bob Smeaton,"documentary,music",English,"Gavin Poolman,    John Trapman",Apollo Films Ltd.,R (Some Language),"Mar 3, 2014",,1h 30m,"Surround, Dolby Digital",Festival Express,,,https://www.rottentomatoes.com/m/festival_express
,$81.3M,Richard Linklater,comedy,English,Scott Rudin,"Paramount Pictures,Scott Rudin Productions",PG-13 (Some Rude Humor|Some Drug References),"Aug 1, 2013","Oct 3, 2003
 wide",1h 48m,Surround,The School of Rock,,,https://www.rottentomatoes.com/m/school_of_rock
,$2.2M,Billy Ray,drama,English,"Craig Baumgarten,    Adam Merims,    Gaye Hirsch,    Tove Christensen","Lionsgate Films,Baumgarten Merims Productions,Cruise-Wagner Productions",PG-13 (Sexual References|Language|Brief Drug Use),"Jan 7, 2017","Nov 14, 2003
 wide",1h 35m,Surround,Shattered Glass,,,https://www.rottentomatoes.com/m/shattered_glass
,,Thom Andersen,documentary,English,Thom Andersen,,,"Aug 10, 2016","Jan 1, 2004
 wide",2h 49m,,Los Angeles Plays Itself,,,https://www.rottentomatoes.com/m/los_angeles_plays_itself
,$731.6K,"Keith Fulton,    Louis Pepe",documentary,English,Lucy Darwin,,R (Language),"Apr 4, 2017",,1h 32m,,Lost in La Mancha,,,https://www.rottentomatoes.com/m/lost_in_la_mancha
,$2.4M,Ki-duk Kim,drama,Korean,"Seung-jae Lee,    Karl Baumgartner",Korea Pictures,R (Some Strong Sexuality),"May 15, 2012",,1h 42m,Surround,"Spring, Summer, Fall, Winter ... and Spring",,,https://www.rottentomatoes.com/m/spring_summer_fall_winterand_spring
,$7.6M,"Kátia Lund,    Fernando Meirelles","drama,crime",Portuguese (Brazil),"Andrea Barata Ribeiro,    Mauricio Andrade Ramos",Lumiere Productions,R (Language|Drug Content|Sexuality|Strong Brutal Violence),"Dec 17, 2015",,2h 11m,"Surround, Dolby SR, Dolby Digital, Dolby A, Dolby Stereo",City of God,,,https://www.rottentomatoes.com/m/city_of_god
Scope (2.35:1),$20.8M,Niki Caro,"drama,kids and family",English,"John Barnett,    Frank Hübner,    Tim Sanders","ApolloMedia,South Pacific Pictures,Pandora",PG-13 (Momentary Drug Reference|Brief Language),"Dec 31, 2016",,1h 41m,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",Whale Rider,,,https://www.rottentomatoes.com/m/whale_rider
Flat (1.37:1),$250.4K,Marco Tullio Giordana,drama,Italian,"Angelo Barbagallo,    Donatella Botti","Rai Cinema,BiBiFilm",R,"Feb 7, 2006","Aug 30, 2003
 wide",5h 58m,Dolby SRD,The Best of Youth,,,https://www.rottentomatoes.com/m/best_of_youth
,$14.1K,Joon-ho Bong,"drama,crime,mystery and thriller",Korean,"Seoung-Jae Cha,    Moo Ryung Kim,    Jong-yun No","CJ Entertainment,Sidus,Muhan Investment",,"Jul 24, 2017",,2h 9m,,Memories of Murder,,"Joon-ho Bong,    Sung Bo Shim",https://www.rottentomatoes.com/m/memories_of_murder_2003
,$4.9M,Peter Mullan,drama,English,Frances Higson,"Film Council,Momentum Pictures,Scottish Screen",R (Language|Cruelty|Nudity|Sexual Content|Violence),"Apr 14, 2016","Aug 15, 2003
 wide",1h 59m,Surround,The Magdalene Sisters,,,https://www.rottentomatoes.com/m/magdalene_sisters
Scope (2.35:1),$2.5M,Patrice Leconte,"drama,comedy",French (Canada),,Cine B,R (Some Language|Brief Violence),"Aug 10, 2016","May 9, 2003
 wide",1h 30m,"Dolby SR, DTS, Dolby Stereo, Surround, Dolby A, Dolby Digital",The Man on the Train,,,https://www.rottentomatoes.com/m/the_man_on_the_train
,,Ridley Scott,,,,,,,,,,Alien: The Director's Cut,,,https://www.rottentomatoes.com/m/alien_the_directors_cut_2007
Flat (1.85:1),$15.9M,Todd Haynes,drama,English,"Christine Vachon,    Jody Patton","Section Eight Ltd.,Killer Films,USA Films,Clear Blue Sky Productions,John Wells Productions",PG-13 (Language|Brief Violence|Mature Thematic Elements|Sexual Content),"Feb 12, 2014","Nov 22, 2002
 wide",1h 47m,"Surround, Dolby SR, Dolby A, Dolby Stereo",Far From Heaven,,,https://www.rottentomatoes.com/m/far_from_heaven
Flat (1.85:1),$15.5M,Jim Sheridan,drama,English,"Paul Myler,    Arthur Lappin",Hell's Kitchen Films,PG-13 (Sexuality|Brief Language),"Nov 25, 2015","Nov 26, 2003
 wide",1h 43m,Dolby SR,In America,,,https://www.rottentomatoes.com/m/in_america
,$90.1M,Clint Eastwood,"drama,crime",English,"Clint Eastwood,    Robert Lorenz,    Judie Hoyt","Village Roadshow Prod.,Malpaso Company",R (Violence|Language),"Jan 2, 2009","Oct 15, 2003
 wide",2h 17m,Surround,Mystic River,,Brian Helgeland,https://www.rottentomatoes.com/m/mystic_river
Flat (1.85:1),$45.1M,Danny Boyle,"horror,sci fi",English,Andrew Macdonald,"Fox Searchlight,Film Council,DNA Pictures International",R (Nudity|Language|Strong Gore|Strong Violence),"Nov 25, 2015","Jun 27, 2003
 wide",1h 52m,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",28 Days Later,,,https://www.rottentomatoes.com/m/28_days_later
,$365.2K,Mario Van Peebles,drama,English,Bruce Wayne Gillies,"Bad Aaas Cinemas,Showtime Networks Inc.",R (Some Strong Sexuality|Pervasive Language|Nudity),"Jul 10, 2012",,1h 48m,Surround,Baadasssss!,,,https://www.rottentomatoes.com/m/baadasssss
,$645.6K,Ingmar Bergman,drama,Swedish,,SVT Fiktion,R (Brief Nudity|Violent Images|Language),"Sep 10, 2015",,1h 47m,Stereo,Saraband,,,https://www.rottentomatoes.com/m/saraband
Flat (1.85:1),$97.0K,Steve James,documentary,English,"Steve James,    Adam Singer,    Gordon Quinn",,R (Descriptions of Abuse|Language),"Jan 5, 2017",,2h 25m,Surround,Stevie,,,https://www.rottentomatoes.com/m/stevie
,$1.6M,Gabriele Salvatores,drama,Italian,Marco Chimenz,"Medusa Film,Alquimia Cinema S.A.,Colorado Film,Cattleya",R (Language|Disturbing Images),"Oct 12, 2004","Feb 8, 2003
 wide",1h 50m,Surround,I'm Not Scared,,,https://www.rottentomatoes.com/m/im_not_scared
Scope (2.35:1),$214.9M,Bryan Singer,"sci fi,action,fantasy,adventure",English,"Lauren Shuler Donner,    Ralph Winter",Marvel Films,PG-13 (Sci-Fi Action|Brief Language|Sci-Fi Violence|Some Sexuality),"Nov 25, 2015","May 2, 2003
 wide",2h 14m,"Dolby SR, DTS, Dolby Stereo, Surround, Dolby A, Dolby Digital",X2,X-Men,"Dan Harris,    Michael Dougherty",https://www.rottentomatoes.com/m/x2_xmen_united
,$110.2M,Mark Waters,"comedy,kids and family",English,Andrew Gunn,"Walt Disney Pictures,Gunn Films,Casual Friday Productions",PG (Some Language|Mild Thematic Elements),"May 27, 2016","Aug 6, 2003
 wide",1h 36m,Surround,Freaky Friday,,"Heather Hach,    Leslie Dixon",https://www.rottentomatoes.com/m/freaky_friday
,$70.1M,Quentin Tarantino,"action,sports and fitness",English,Lawrence Bender,A Band Apart,R (Some Sexual Content|Language|Strong Bloody Violence),"Apr 21, 2016","Oct 10, 2003
 wide",1h 50m,"Dolby Stereo, Dolby A, SDDS, DTS, Surround, Dolby Digital, Dolby SR",Kill Bill: Vol. 1,,,https://www.rottentomatoes.com/m/kill_bill_vol_1
Flat (1.85:1),$17.5M,Christopher Guest,comedy,English,Karen Murphy,Castle Rock Entertainment,PG-13 (Sex-Related Humor),"Jun 30, 2011","Apr 16, 2003
 wide",1h 30m,"Dolby Stereo, Dolby A, SDDS, DTS, Surround, Dolby Digital, Dolby SR",A Mighty Wind,,,https://www.rottentomatoes.com/m/mighty_wind
,$129.0K,Satoshi Kon,"drama,anime,comedy",Japanese,Masao Maruyama,Mad House Company Ltd.,PG-13 (Thematic Elements|Some Sexual Material|Language|Violent Images),"Dec 2, 2017",,1h 30m,Surround,Tokyo Godfathers,,,https://www.rottentomatoes.com/m/tokyo_godfathers
Scope (2.35:1),$93.9M,Peter Weir,"drama,war,adventure",English,"Samuel Goldwyn Jr.,    Duncan Henderson,    Peter Weir","20th Century Fox,Miramax Films,Samuel Goldwyn Films,Universal Pictures",PG-13,"Jun 2, 2014","Nov 14, 2003
 wide",2h 19m,"Surround, DTS, Dolby EX",Master and Commander: The Far Side of the World,,"Peter Weir,    John Collee",https://www.rottentomatoes.com/m/master_and_commander_the_far_side_of_the_world
Scope (2.35:1),$13.0M,Phillip Noyce,drama,English,"William Horberg,    Staffan Ahrenberg","Mirage Enterprises,Saga,Pacifica Film",R (Some Language|Images of Violence),"Oct 8, 2016",,1h 41m,"Surround, Dolby Digital, DTS, SDDS",The Quiet American,,,https://www.rottentomatoes.com/m/1118347-quiet_american
,$853.7K,Takeshi Kitano,"action,adventure",Japanese,,"Bandai Visual Co. Ltd.,Asahi National Broadcasting Company",R,"Oct 8, 2016",,1h 55m,Surround,Zatoichi,,,https://www.rottentomatoes.com/m/zatoichi_2003
,$74.2K,Michael Winterbottom,drama,English,"Andrew Eaton,    Anita Overland",BBC,R,"Mar 22, 2005","Nov 17, 2002
 wide",1h 28m,,In This World,,,https://www.rottentomatoes.com/m/in_this_world
,$151.0K,"Jørgen Leth,    Lars von Trier",documentary,Danish,,,,"Apr 22, 2014",,1h 31m,"Surround, Dolby SR",The Five Obstructions,,,https://www.rottentomatoes.com/m/five_obstructions
