Aspect Ratio:,Box Office (Gross USA):,Director:,Genre:,Original Language:,Producer:,Production Co:,Rating:,Release Date (Streaming):,Release Date (Theaters):,Runtime:,Sound Mix:,Title:,View the collection:,Writer:,url
Scope (2.35:1),$6.9M,Jonathan Glazer,"drama,comedy",English,Jeremy Thomas,"Recorded Pictures Company,Jonathan Glazer Film,Jeremy Thomas Production",R (Some Sexuality|Pervasive Language|Strong Violence),"Nov 25, 2015",,1h 28m,"Dolby Stereo, DTS, SDDS, Surround, Dolby Digital, Dolby SR",Sexy Beast,,,https://www.rottentomatoes.com/m/sexy_beast
Flat (1.85:1),$1.5M,Karyn Kusama,drama,English,,"Independent Film Channel,Green/Renzi",R (Language),"May 13, 2016","Sep 29, 2000
 wide",1h 53m,"SDDS, Dolby SR, Dolby Digital, Surround",Girlfight,,,https://www.rottentomatoes.com/m/girlfight
,,Stephen Cook,"comedy,mystery and thriller",English,,,,"Jan 23, 2017",,1h 31m,,Aim Point Shoot,,Stephen Cook,https://www.rottentomatoes.com/m/aimee_and_jaguar
,,William Friedkin,,,,,,,,,,Exorcist: The Version You've Never Seen,,,https://www.rottentomatoes.com/m/exorcist_the_version_youve_never_seen
Flat (1.85:1),$6.9M,David Mamet,comedy,English,Sarah Green,"Green/Renzi,Filmtown Entertainment [us],El Dorado Pictures",R (Language|Brief Sexual Images),"Jan 1, 2010","Jan 12, 2001
 wide",1h 46m,"Surround, Dolby Stereo",State and Main,,,https://www.rottentomatoes.com/m/state_and_main
Flat (1.85:1),$89.3M,Mark Dindal,"animation,comedy,kids and family",English,Randy Fullmer,Walt Disney Pictures,G,"Dec 13, 2015","Dec 15, 2000
 wide",1h 19m,"Surround, Dolby SR, Dolby Digital, Dolby Stereo",The Emperor's New Groove,,David Reynolds,https://www.rottentomatoes.com/m/emperors_new_groove
Flat (1.85:1),$166.2M,Jay Roach,comedy,English,"Robert De Niro,    Jay Roach,    Jane Rosenthal,    Nancy Tenenbaum","Nancy Tenenbaum Productions,Universal Pictures,Tribeca Productions,DreamWorks Pictures",PG-13 (Language|Drug References|Sexual Content),"Jun 7, 2016","Oct 6, 2000
 wide",1h 48m,"SDDS, Dolby Digital, DTS, Surround, Dolby SR",Meet the Parents,,"Jim Herzfeld,    John Hamburg",https://www.rottentomatoes.com/m/meet_the_parents
Flat (1.85:1),$125.5M,Steven Soderbergh,drama,English,"Danny DeVito,    Michael Shamberg,    Stacey Sher",Jersey Films,R (Language),"Feb 25, 2014","Mar 17, 2000
 wide",2h 11m,"Surround, Dolby Digital, DTS, SDDS",Erin Brockovich,,,https://www.rottentomatoes.com/m/erin_brockovich
,,Kinji Fukasaku,"action,comedy,mystery and thriller",Japanese,"Akio Kamatani,    Tetsu Kayama,    Masumi Okada,    Masao Sato",Battle Royale Prod. Committee,,"Nov 30, 2016",,1h 54m,Dolby Digital,Battle Royale,,,https://www.rottentomatoes.com/m/battle_royale
Flat (1.85:1),$22.0M,Stephen Daldry,drama,English (United Kingdom),"Greg Brenman,    Jonathan Finn","Studio Canal,Working Films,BBC,Tiger Aspect Pictures,Arts Council of England,WT²",R (Language),"May 18, 2016","Oct 13, 2000
 wide",1h 50m,"Dolby SR, Dolby Digital, Surround",Dancer,,,https://www.rottentomatoes.com/m/billy_elliot
Flat (1.85:1),$368.6K,Cesc Gay,drama,English,"Marta Esteban,    Gerardo Herrero",Messidor Films,R,"Mar 1, 2007",,1h 30m,"Surround, Dolby SR, Dolby Digital, Dolby A, Dolby Stereo",Nico and Dani,,,https://www.rottentomatoes.com/m/nico_and_dani
Scope (2.35:1),$157.3M,Bryan Singer,"action,fantasy,sci fi,adventure",English,"Lauren Shuler Donner,    Tom DeSanto","Twentieth Century Fox,Genetics Productions,Bad Hat Harry,Springwood Productions,Marvel Enterprises,Marvel Films,Donner/Schuler-Donner",PG-13 (Violence),"Nov 25, 2015","Jul 14, 2000
 wide",1h 44m,"Surround, Dolby Digital, Dolby EX",X-Men,X-Men,,https://www.rottentomatoes.com/m/xmen
Scope (2.35:1),$25.2M,Neil LaBute,comedy,English,,"ab'-strakt pictures,Propaganda Films,IMF,Pacifica Film,Abstrakt Film,Gramercy Pictures",R,"Jan 26, 2016","Sep 8, 2000
 wide",1h 48m,"SDDS, Dolby Digital, DTS, Surround, Dolby SR",Nurse Betty,,,https://www.rottentomatoes.com/m/nurse_betty
Flat (1.85:1),$34.6M,Roger Donaldson,"drama,history",English,"Marc Abraham,    Peter O. Almond,    Armyan Bernstein","New Line Cinema,Beacon Communications,Tig Productions",PG-13 (Brief Strong Language),"Jul 24, 2012",,2h 25m,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",Thirteen Days,,,https://www.rottentomatoes.com/m/thirteen_days
Scope (2.35:1),$8.3M,E. Elias Merhige,drama,English,"Nicolas Cage,    Jeff Levine",Saturn Films,R,"Sep 14, 2016","Jan 26, 2001
 wide",1h 33m,"Dolby SR, Dolby Digital, Surround",Shadow of the Vampire,,,https://www.rottentomatoes.com/m/shadow_of_the_vampire
Flat (1.85:1),$802.9K,Kwon-taek Im,"musical,romance",Korean,,"Taehung Pictures,CJ Entertainment,Saehan Industries,Mirae Asset Capital",R (Some Sensuality),,,2h 1m,"Dolby Stereo, Dolby SR, Surround",Chunhyang,,,https://www.rottentomatoes.com/m/chunhyangdyun_2000
